Player,Pos.,Team,Amount,Infraction,Week,6,Year
R. Jay Soward,WR,JAC,"$57,647.00 ",,,,2000
Mark Carrier,S,WAS,"$25,882.00 ",Helmet to helmet hit,,,2000
Tommy Bennett,S,DET,"$112,235.00 ",Violating the league's PED policy,,,2001
R. Jay Soward,WR,JAC,"$504,411.00 ",Substance Abuse,,,2001
Omar Stoutmire,S,NYG,"$7,500.00 ",Unsportsmanlike Conduct,Postseason,,2002
Shaun Williams,S,NYG,"$10,000.00 ",Striking/Kicking/Kneeing,Postseason,,2002
Terrell Owens,WR,SF,"$10,000.00 ",Striking/Kicking/Kneeing,Postseason,,2002
Antuan Edwards,S,GB,"$5,000.00 ",Late Hit,Week 14,,2002
Chris Walsh,WR,MIN,"$5,000.00 ",Fighting,Week 14,,2002
Jim Kleinsasser,TE,MIN,"$10,000.00 ",Fighting,Week 14,,2002
Mike McKenzie,CB,GB,"$5,000.00 ",Fighting,Week 14,,2002
Nate Wayne,OLB,GB,"$5,000.00 ",Fighting,Week 14,,2002
Steve Herndon,G,DEN,"$17,647.00 ",Chop Block,Week 13,,2002
Julius Peppers,DE,CAR,"$250,000.00 ",violating the NFL's substance abuse policy,,,2002
Brett Favre,QB,GB,"$5,000.00 ",Unsportsmanlike Conduct,Week 11,,2002
Chris Hovan,DT,MIN,"$5,000.00 ",Unsportsmanlike Conduct,Week 11,,2002
Roy Williams,S,DAL,"$7,500.00 ",Unsportsmanlike Conduct,Week 9,,2002
Willie McGinest,LB,NE,"$7,500.00 ",Roughing the Passer,Week 9,,2002
Gary Walker,DT,HOU,"$15,000.00 ",Roughing the Passer,Week 8,,2002
Brian Dawkins,S,PHI,"$50,000.00 ",Hit on Defenseless Player,Week 8,,2002
Michael Vick,QB,ATL,"$5,000.00 ",Other Uniform/Equipment Violation,Week 8,,2002
Rodney Harrison,S,SD,"$111,764.00 ",hit the the head against Jerry Rice (OAK),,,2002
Darren Woodson,S,DAL,"$75,000.00 ",Hit on Defenseless Player,Week 8,,2002
Samari Rolle,CB,TEN,"$7,500.00 ",Roughing the Passer,Week 7,,2002
Terrell Owens,WR,SF,"$5,000.00 ",Other Uniform/Equipment Violation,Week 6,,2002
Izell Reese,S,DEN,"$5,000.00 ",Roughing the Passer,Week 2,,2002
