City,State,Pop,Size
New York ,NY,"8,363,710",1
Los Angeles ,CA,"3,833,995",1
Chicago ,IL,"2,853,114",1
Houston ,TX,"2,242,193",1
Phoenix ,AZ,"1,567,924",1
Philadelphia ,PA,"1,447,395",1
San Antonio ,TX,"1,351,305",1
Dallas ,TX,"1,279,910",1
San Diego ,CA,"1,279,329",1
San Jose ,CA,"948,279",1
Detroit ,MI,"912,062",1
San Francisco ,CA,"808,976",1
Jacksonville ,FL,"807,815",1
Indianapolis,IN,"798,382",1
Austin ,TX,"757,688",1
Columbus ,OH,"754,885",1
Fort Worth ,TX,"703,073",1
Charlotte ,NC,"687,456",1
D.C.,VA,"681,170",1
Memphis ,TN,"669,651",1
Baltimore ,MD,"636,919",1
El Paso ,TX,"613,190",1
Boston ,MA,"609,023",1
Milwaukee ,WI,"604,477",1
Denver ,CO,"598,707",1
Seattle ,WA,"598,541",1
Nashville,TN,"596,462",1
Washington ,DC,"591,833",1
Las Vegas ,NV,"558,383",1
Portland ,OR,"557,706",1
Louisville,KY,"557,224",1
Oklahoma City ,OK,"551,789",1
Tucson ,AZ,"541,811",1
Atlanta ,GA,"537,958",1
Albuquerque ,NM,"521,999",1
Fresno ,CA,"476,050",2
Sacramento ,CA,"463,794",2
Long Beach ,CA,"463,789",2
Mesa ,AZ,"463,552",2
Kansas City ,MO,"451,572",2
Omaha ,NE,"438,646",2
Cleveland ,OH,"433,748",2
Virginia Beach ,VA,"433,746",2
Miami ,FL,"413,201",2
Oakland ,CA,"404,155",2
Raleigh ,NC,"392,552",2
Tulsa ,OK,"385,635",2
Minneapolis ,MN,"382,605",2
Colorado Springs ,CO,"380,307",2
Honolulu,HI,"374,676",2
Arlington ,TX,"374,417",2
Wichita ,KS,"366,046",2
St. Louis ,MO,"354,361",2
Tampa ,FL,"340,882",2
Santa Ana ,CA,"339,130",2
Anaheim ,CA,"335,288",2
Cincinnati ,OH,"333,336",2
Bakersfield ,CA,"321,078",2
Aurora ,CO,"319,057",2
New Orleans ,LA,"311,853",2
Pittsburgh ,PA,"310,037",2
Riverside ,CA,"295,357",2
Toledo ,OH,"293,201",2
Stockton ,CA,"287,037",2
Corpus Christi ,TX,"286,462",2
Lexington,KY,"282,114",2
St. Paul ,MN,"279,590",2
Anchorage,AK,"279,243",2
Newark ,NJ,"278,980",2
Buffalo ,NY,"270,919",2
Plano ,TX,"267,480",2
Henderson ,NV,"252,064",2
Lincoln ,NE,"251,624",2
Fort Wayne ,IN,"251,591",2
Glendale ,AZ,"251,522",2
Greensboro ,NC,"250,642",3
Chandler ,AZ,"247,140",3
St. Petersburg ,FL,"245,314",3
Jersey City ,NJ,"241,114",3
Scottsdale ,AZ,"235,371",3
Norfolk ,VA,"234,220",3
Madison ,WI,"231,916",3
Orlando ,FL,"230,519",3
Birmingham ,AL,"228,798",3
Baton Rouge ,LA,"223,689",3
Durham ,NC,"223,284",3
Laredo ,TX,"221,659",3
Lubbock ,TX,"220,483",3
Chesapeake ,VA,"220,111",3
Chula Vista ,CA,"219,318",3
Garland ,TX,"218,577",3
Winston-Salem ,NC,"217,600",3
North Las Vegas ,NV,"217,253",3
Reno ,NV,"217,016",3
Gilbert,AZ,"216,449",3
Hialeah ,FL,"210,542",3
Arlington,VA,"209,969",3
Akron ,OH,"207,510",3
Irvine ,CA,"207,500",3
Rochester ,NY,"206,886",3
Boise City ,ID,"205,314",3
Modesto ,CA,"202,967",3
Fremont ,CA,"202,867",3
Montgomery ,AL,"202,696",3
Spokane ,WA,"202,319",3
Richmond ,VA,"202,002",3
Yonkers ,NY,"201,588",3
Irving ,TX,"201,358",3
Shreveport ,LA,"199,729",3
San Bernardino ,CA,"198,580",3
Tacoma ,WA,"197,181",3
Glendale ,CA,"197,176",3
Des Moines ,IA,"197,052",3
Augusta,GA,"194,149",3
Grand Rapids ,MI,"193,396",3
Huntington Beach ,CA,"192,620",3
Mobile ,AL,"191,022",3
Moreno Valley ,CA,"190,871",3
Little Rock ,AR,"189,515",3
Amarillo ,TX,"187,236",3
Columbus ,GA,"186,984",3
Oxnard ,CA,"185,717",3
Fontana ,CA,"184,984",3
Knoxville ,TN,"184,802",3
Fort Lauderdale ,FL,"183,126",3
Salt Lake City ,UT,"181,698",3
Newport News ,VA,"179,614",3
Huntsville ,AL,"176,645",3
Tempe ,AZ,"175,523",3
Brownsville ,TX,"175,494",3
Worcester ,MA,"175,011",3
Fayetteville ,NC,"174,091",3
Jackson ,MS,"173,861",3
Tallahassee ,FL,"171,922",3
Aurora ,IL,"171,782",3
Ontario ,CA,"171,691",3
Providence ,RI,"171,557",3
Overland Park ,KS,"171,231",3
Rancho Cucamonga ,CA,"171,176",3
Chattanooga ,TN,"170,880",3
Oceanside ,CA,"169,684",3
Santa Clarita ,CA,"169,500",3
Garden Grove ,CA,"165,796",3
Vancouver ,WA,"163,186",3
Grand Prairie ,TX,"160,641",3
Peoria ,AZ,"157,960",3
Rockford ,IL,"157,272",3
Cape Coral ,FL,"156,835",3
Springfield ,MO,"156,206",3
Santa Rosa ,CA,"155,796",3
Sioux Falls ,SD,"154,997",3
Port St. Lucie ,FL,"154,353",3
Dayton ,OH,"154,200",3
Salem ,OR,"153,435",3
Pomona ,CA,"152,699",3
Springfield ,MA,"150,640",3
Eugene ,OR,"150,104",3
Corona ,CA,"149,923",3
Pasadena ,TX,"146,439",3
Joliet ,IL,"146,125",3
Pembroke Pines ,FL,"145,661",3
Paterson ,NJ,"145,643",3
Hampton ,VA,"145,494",3
Lancaster ,CA,"145,469",3
Alexandria ,VA,"143,885",3
Salinas ,CA,"143,640",3
Palmdale ,CA,"143,197",3
Naperville ,IL,"143,117",3
Pasadena ,CA,"143,080",3
Kansas City ,KS,"142,562",3
Hayward ,CA,"142,061",3
Hollywood ,FL,"141,740",3
Lakewood ,CO,"140,989",3
Torrance ,CA,"140,820",3
Syracuse ,NY,"138,068",3
Escondido ,CA,"137,103",3
Fort Collins ,CO,"136,509",3
Bridgeport ,CT,"136,405",3
Orange ,CA,"136,392",3
Warren ,MI,"133,939",3
Elk Grove ,CA,"133,003",3
Savannah ,GA,"132,410",3
Mesquite ,TX,"132,123",3
Sunnyvale ,CA,"132,109",3
Fullerton ,CA,"131,868",3
McAllen ,TX,"129,776",3
Cary,NC,"129,545",3
Cedar Rapids ,IA,"128,056",3
Sterling Heights ,MI,"127,160",3
Columbia ,SC,"127,029",3
Coral Springs ,FL,"125,783",3
Carrollton ,TX,"125,595",3
Elizabeth ,NJ,"124,755",3
Hartford ,CT,"124,062",3
Waco ,TX,"124,009",3
Bellevue ,WA,"123,771",3
New Haven ,CT,"123,669",3
West Valley City ,UT,"123,447",3
Topeka ,KS,"123,446",3
Thousand Oaks ,CA,"123,091",3
El Monte ,CA,"121,791",3
McKinney ,TX,"121,211",3
Concord ,CA,"121,160",3
Visalia ,CA,"121,040",3
Simi Valley ,CA,"120,543",3
Olathe ,KS,"119,993",3
Clarksville ,TN,"119,735",3
Denton ,TX,"119,454",3
Stamford ,CT,"119,303",3
Provo ,UT,"118,581",3
Springfield ,IL,"117,352",3
Killeen ,TX,"116,934",3
Abilene ,TX,"116,484",3
Evansville ,IN,"116,309",3
Gainesville ,FL,"114,916",3
Vallejo ,CA,"114,729",3
Ann Arbor ,MI,"114,386",3
Peoria ,IL,"114,114",3
Lansing ,MI,"113,968",3
Lafayette ,LA,"113,656",3
Thornton ,CO,"113,429",3
Athens,GA,"113,398",3
Flint ,MI,"112,900",3
Inglewood ,CA,"112,714",3
Roseville ,CA,"112,660",3
Charleston ,SC,"111,978",3
Beaumont ,TX,"110,553",3
Independence ,MO,"110,440",3
Victorville ,CA,"110,318",3
Santa Clara ,CA,"110,200",3
Costa Mesa ,CA,"110,080",3
Miami Gardens ,FL,"109,346",3
Manchester ,NH,"108,586",3
Miramar ,FL,"108,484",3
Downey ,CA,"107,587",3
Arvada ,CO,"107,361",3
Allentown ,PA,"107,250",3
Westminster ,CO,"107,056",3
Waterbury ,CT,"107,037",3
Norman ,OK,"106,957",3
Midland ,TX,"106,561",3
Elgin ,IL,"106,330",3
West Covina ,CA,"105,790",3
Clearwater ,FL,"105,774",3
Cambridge ,MA,"105,596",3
Pueblo ,CO,"104,951",3
West Jordan ,UT,"104,447",3
Round Rock ,TX,"104,446",3
Billings ,MT,"103,994",3
Erie ,PA,"103,817",3
South Bend ,IN,"103,807",3
Ventura,CA,"103,706",3
Fairfield ,CA,"103,683",3
Lowell ,MA,"103,615",3
Norwalk ,CA,"102,982",3
Burbank ,CA,"102,968",3
Richmond ,CA,"102,285",3
Pompano Beach ,FL,"101,943",3
High Point ,NC,"101,835",3
Murfreesboro ,TN,"101,753",3
Lewisville ,TX,"101,624",3
Richardson ,TX,"101,589",3
Daly City ,CA,"101,514",3
Berkeley ,CA,"101,371",3
Gresham ,OR,"101,221",3
Wichita Falls ,TX,"101,202",3
